Género y especie;Tiempo;Ubicación;Zona;País actual;Hábitat;Capacidad craneal;Altura;Tamaño de los incisivos;Forma de la mandíbula;Toroide supraorbitario;Prognatismo;Posición del foramen magnum;Tamaño del canino;Forma de los caninos;Esmalte dental;Tecno;Tipo tecno;Bípedo;Brazos;Pies;Dieta;Dimorfismo sexual;Cadera;Frente vertical;Anatomía;Migrado;Esqueleto
Homo Heidelbergensis;0.37291355;Europa;central;Germany;cold forest;1.420.288;17.263.315;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Australopithecus Bahrelghazali;321.311.615;Africa;central;Republic of Chad;mixed;35.538.373;1.134.772;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Aethiopicus;233.487.118;Africa;oriental;Kenya;forest-savanna;43.728.936;10.966.262;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Africanus;406.755.697;Africa;south;South Africa;forest-gallery;65.889.368;11.979.484;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Paranthropus Robustus;169.831.539;Africa;south;South Africa;jungle;40.974.683;12.430.554;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Robustus;2.053.639;Africa;south;South Africa;jungle;53.668.692;1.189.586;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Sahelanthropus tchadensis;712.657.104;Africa;central;Republic of Chad;mixed;26.664.634;9.066.761;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Sapiens;0.62263123;Africa;oriental;Kenya;savannah;115.486.498;17.641.714;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Australopithecus Sediba;182.998.686;Africa;south;South Africa;mixed;27.193.969;10.056.014;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Paranthropus Aethiopicus;269.371.973;Africa;oriental;Kenya;forest-savanna;55.653.382;10.319.466;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rodhesiensis;116.259.567;Africa;oriental;Ethiopia;savannah;10.312.465;15.344.384;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Floresiensis;0.7204161;Asia ;oriental;Indonesia;peninsular;38.855.813;9.619.606;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Naledi;0.20637078;Africa;south;South Africa;jungle;48.191.847;13.740.912;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Floresiensis;0.86572126;Asia ;oriental;Indonesia;peninsular;32.346.229;9.753.493;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Erectus;161.750.732;Asia ;west;Indonesia;savannah;106.470.459;15.553.519;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Garhi;244.585.901;Africa;oriental;Ethiopia;mixed;40.053.264;12.896.318;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
hominino Sahelanthropus tchadensis;737.439.677;Africa;central;Republic of Chad;mixed;21.782.031;9.608.072;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Garhi;313.887.124;Africa;oriental;Ethiopia;mixed;23.953.812;11.394.089;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Naledi;0.36276354;Africa;south;South Africa;jungle;32.782.005;13.737.759;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
hominino Ardipithecus ramidus / kabadda;387.574.482;Africa;oriental;Ethiopia;mixed;28.398.977;10.037.181;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Antecesor;111.096.385;Europa;west;Spain;savannah;90.888.022;17.037.242;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Australopithecus Bahrelghazali;414.837.117;Africa;central;Republic of Chad;mixed;42.789.395;12.258.057;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Rudolfensis;295.625.976;Africa;oriental;Kenya;savannah;60.027.385;13.501.453;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Habilis;247.459.226;Africa;oriental;Ethiopia;savannah;89.077.969;13.916.524;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
hominino Ardipithecus ramidus / kabadda;417.487.966;Africa;oriental;Ethiopia;mixed;2.583.878;10.944.351;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
hominino Orrorin tugenencin;662.465.565;Africa;oriental;Kenya;forest;23.435.989;12.883.058;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Afarensis;360.999.842;Africa;oriental;Kenya;mixed;34.182.357;13.054.647;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Ergaster;122.396.812;Africa;oriental;Kenya;savannah;914.676;15.980.187;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Antecesor;137.039.678;Europa;west;Spain;savannah;90.206.225;17.936.791;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Australopithecus Anamensis;464.431.725;Africa;oriental;Kenya;forest-gallery;22.076.355;11.986.276;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Robustus;187.932.532;Africa;south;South Africa;jungle;62.061.591;12.097.886;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Anamensis;474.320.202;Africa;oriental;Kenya;forest-gallery;2.241.293;11.913.784;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Sediba;240.520.191;Africa;south;South Africa;mixed;49.811.336;10.667.617;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Sapiens;0.03888583;Africa;oriental;Kenya;savannah;117.602.885;1.749.479;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Naledi;0.85396859;Africa;south;South Africa;jungle;34.046.337;12.435.393;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Paranthropus Aethiopicus;317.734.095;Africa;oriental;Kenya;forest-savanna;37.544.402;10.574.811;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Ergaster;202.296.946;Africa;oriental;Kenya;savannah;74.238.395;15.271.724;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Naledi;0.7975528;Africa;south;South Africa;jungle;47.285.651;13.010.278;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
hominino Sahelanthropus tchadensis;729.593.544;Africa;central;Republic of Chad;mixed;25.587.585;9.797.959;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Rudolfensis;256.277.692;Africa;oriental;Kenya;savannah;69.401.207;1.327.851;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Sapiens;0.79318444;Africa;oriental;Kenya;savannah;114.742.611;1.654.807;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Australopithecus Afarensis;360.573.713;Africa;oriental;Kenya;mixed;27.922.243;12.724.165;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Naledi;0.68750466;Africa;south;South Africa;jungle;47.684.368;12.931.316;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Afarensis;381.994.047;Africa;oriental;Kenya;mixed;43.687.266;13.293.957;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Australopithecus Garhi;261.043.749;Africa;oriental;Ethiopia;mixed;36.888.136;12.435.812;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Habilis;308.881.327;Africa;oriental;Ethiopia;savannah;70.984.126;13.063.053;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Rudolfensis;284.111.732;Africa;oriental;Kenya;savannah;54.468.257;13.478.147;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Rodhesiensis;0.99016901;Africa;oriental;Ethiopia;savannah;104.541.645;15.059.799;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
hominino Ardipithecus ramidus / kabadda;384.548.694;Africa;oriental;Ethiopia;mixed;33.993.494;11.827.755;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Rudolfensis;273.814.163;Africa;oriental;Kenya;savannah;76.620.114;12.356.661;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Floresiensis;0.08364683;Asia ;oriental;Indonesia;peninsular;24.529.207;9.490.838;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Heidelbergensis;0.79280911;Europa;central;Germany;cold forest;127.358.885;17.148.698;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
hominino Orrorin tugenencin;627.736.064;Africa;oriental;Kenya;forest;2.754.053;12.073.636;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Paranthropus Boisei;280.296.727;Africa;oriental;Ethiopia;forest;43.403.464;10.987.589;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rodhesiensis;125.496.508;Africa;oriental;Ethiopia;savannah;121.514.328;15.408.961;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Rodhesiensis;114.740.184;Africa;oriental;Ethiopia;savannah;108.269.671;15.481.345;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
hominino Orrorin tugenencin;573.163.669;Africa;oriental;Kenya;forest;6.265.009;12.761.435;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Sediba;171.187.772;Africa;south;South Africa;mixed;34.705.179;11.969.439;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Ergaster;148.535.914;Africa;oriental;Kenya;savannah;80.512.681;16.547.447;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Garhi;262.789.036;Africa;oriental;Ethiopia;mixed;25.743.631;11.338.132;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Paranthropus Boisei;255.557.956;Africa;oriental;Ethiopia;forest;46.189.027;10.244.364;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Erectus;155.059.522;Asia ;west;Indonesia;savannah;91.257.273;16.905.198;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Aethiopicus;30.394.935;Africa;oriental;Kenya;forest-savanna;54.983.744;10.900.965;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Ardipithecus ramidus / kabadda;373.105.973;Africa;oriental;Ethiopia;mixed;34.754.536;11.647.317;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Paranthropus Boisei;23.229.956;Africa;oriental;Ethiopia;forest;48.718.749;10.876.685;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Robustus;251.098.274;Africa;south;South Africa;jungle;53.817.043;11.199.848;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Robustus;231.733.459;Africa;south;South Africa;jungle;37.070.207;12.300.265;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Heidelbergensis;0.83689408;Europa;central;Germany;cold forest;123.499.811;17.455.277;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Sapiens;0.33046462;Africa;oriental;Kenya;savannah;127.368.473;17.973.317;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Australopithecus Afarensis;387.347.272;Africa;oriental;Kenya;mixed;27.817.699;13.809.535;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Australopithecus Bahrelghazali;329.347.353;Africa;central;Republic of Chad;mixed;3.472.125;11.552.348;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Robustus;214.865.069;Africa;south;South Africa;jungle;64.681.812;11.409.295;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Erectus;139.769.509;Asia ;west;Indonesia;savannah;114.859.912;16.562.136;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Anamensis;475.232.523;Africa;oriental;Kenya;forest-gallery;42.895.733;12.428.545;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Robustus;175.235.352;Africa;south;South Africa;jungle;36.075.845;12.189.596;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Floresiensis;0.21321405;Asia ;oriental;Indonesia;peninsular;44.264.788;9.580.603;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Garhi;227.554.579;Africa;oriental;Ethiopia;mixed;28.289.748;11.568.835;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Australopithecus Afarensis;405.294.342;Africa;oriental;Kenya;mixed;38.350.474;13.813.587;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Rodhesiensis;0.8002894;Africa;oriental;Ethiopia;savannah;103.786.088;15.101.841;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Sediba;180.294.007;Africa;south;South Africa;mixed;36.133.655;10.001.499;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Anamensis;473.464.388;Africa;oriental;Kenya;forest-gallery;2.078.111;12.857.203;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Afarensis;405.295.423;Africa;oriental;Kenya;mixed;32.852.787;12.659.106;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Habilis;253.597.839;Africa;oriental;Ethiopia;savannah;77.394.491;13.803.057;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
hominino Orrorin tugenencin;61.788.196;Africa;oriental;Kenya;forest;18.372.093;12.189.284;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Rodhesiensis;102.580.914;Africa;oriental;Ethiopia;savannah;12.069.613;14.169.951;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Afarensis;423.736.105;Africa;oriental;Kenya;mixed;2.835.673;13.587.032;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
hominino Ardipithecus ramidus / kabadda;461.000.702;Africa;oriental;Ethiopia;mixed;26.929.686;10.715.919;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
hominino Sahelanthropus tchadensis;712.250.985;Africa;central;Republic of Chad;mixed;109.983;9.159.733;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Georgicus;200.818.244;Asia ;west;Georgia;savannah;58.980.345;14.892.256;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Ergaster;194.708.977;Africa;oriental;Kenya;savannah;88.741.564;1.648.659;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Bahrelghazali;330.763.323;Africa;central;Republic of Chad;mixed;21.870.875;12.404.405;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Heidelbergensis;0.31313198;Europa;central;Germany;cold forest;141.593.317;18.369.198;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
hominino Orrorin tugenencin;661.500.733;Africa;oriental;Kenya;forest;2.210.498;1.113.828;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Garhi;233.108.838;Africa;oriental;Ethiopia;mixed;27.889.598;11.616.056;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Floresiensis;0.64247745;Asia ;oriental;Indonesia;peninsular;33.618.733;9.121.693;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Georgicus;167.623.177;Asia ;west;Georgia;savannah;84.497.794;15.329.118;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Aethiopicus;23.601.923;Africa;oriental;Kenya;forest-savanna;31.708.614;10.356.286;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Africanus;333.213.315;Africa;south;South Africa;forest-gallery;56.186.698;10.350.723;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Australopithecus Bahrelghazali;335.213.908;Africa;central;Republic of Chad;mixed;21.699.738;12.839.021;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Antecesor;116.795.199;Europa;west;Spain;savannah;95.953.538;17.127.268;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Paranthropus Robustus;229.988.696;Africa;south;South Africa;jungle;54.880.003;11.045.649;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Robustus;239.994.628;Africa;south;South Africa;jungle;3.677.672;11.633.849;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Orrorin tugenencin;637.209.228;Africa;oriental;Kenya;forest;16.095.443;11.845.817;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Ergaster;183.717.472;Africa;oriental;Kenya;savannah;79.744.171;16.523.781;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Africanus;400.078.269;Africa;south;South Africa;forest-gallery;44.484.173;10.313.551;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Australopithecus Afarensis;450.481.518;Africa;oriental;Kenya;mixed;23.928.185;13.960.372;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Rudolfensis;241.366.121;Africa;oriental;Kenya;savannah;54.629.687;12.432.299;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
hominino Sahelanthropus tchadensis;735.995.389;Africa;central;Republic of Chad;mixed;9.199.826;9.246.643;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Anamensis;48.177.533;Africa;oriental;Kenya;forest-gallery;29.599.277;11.975.569;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Robustus;204.220.089;Africa;south;South Africa;jungle;37.124.383;12.561.134;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Erectus;113.336.217;Asia ;west;Indonesia;savannah;112.695.261;16.592.129;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Bahrelghazali;352.305.877;Africa;central;Republic of Chad;mixed;16.000.052;12.185.048;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Robustus;255.625.014;Africa;south;South Africa;jungle;4.617.944;11.287.852;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Heidelbergensis;0.47571097;Europa;central;Germany;cold forest;139.234.565;18.243.106;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Paranthropus Boisei;266.316.257;Africa;oriental;Ethiopia;forest;38.860.438;11.581.109;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Sediba;169.742.474;Africa;south;South Africa;mixed;29.909.918;10.881.619;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Africanus;399.457.531;Africa;south;South Africa;forest-gallery;6.785.213;11.492.023;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Habilis;313.361.282;Africa;oriental;Ethiopia;savannah;72.327.027;13.157.569;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
